,map_name,num_lm,accuracy
0,Charlotte #1,24,0.044715447154471545
1,Charlotte #2,15,0.06504065040650407
2,Chicago #1,22,0.056910569105691054
3,Chicago #2,26,0.056910569105691054
4,Columbus #1,10,0.06097560975609756
5,Columbus #2,26,0.044715447154471545
6,Denver #1,27,0.036585365853658534
7,Denver #2,21,0.04878048780487805
8,Houston,32,0.04878048780487805
9,Indianapolis,10,0.044715447154471545
10,Jacksonville #1,19,0.04065040650406504
11,Jacksonville #2,16,0.056910569105691054
12,Los Angeles #1,60,0.044715447154471545
13,Los Angeles #2,62,0.052845528455284556
14,New York #1,71,0.052845528455284556
15,New York #2,73,0.036585365853658534
16,Philadelphia #1,21,0.04878048780487805
17,Philadelphia #2,90,0.04065040650406504
18,San Diego #1,41,0.036585365853658534
19,San Diego #2,31,0.04878048780487805
20,Seattle,119,0.044715447154471545
